population,area,density,log_population,log_area,pop_per_km
0.5880189212281874,-0.052940378198411416,0.7447992071764609,0.7530504477317672,0.19156985273569244,0.5880189212281877
0.15353763914021956,0.6368367834655473,-0.3142938498883768,0.569547763074048,0.6251715909052977,0.15353763914021964
-0.8779531083352894,-1.3061158162473552,2.2406449280095773,-0.8218681326571292,-1.6258172763720267,-0.8779531083352895
-0.4466902061146398,-0.05810868269705347,-0.5666930648796454,0.14140289493821293,0.18748529204073866,-0.44669020611463983
0.7811217132672843,-0.17128431319666412,1.2218475620753875,0.8186609703769783,0.09353918005906955,0.7811217132672845
2.4249092305000963,2.015260658679996,-0.26567554129288806,1.3361528081974254,1.8023242160038486,2.4249092305000963
-0.09749599051060634,1.256646553633583,-0.6935054629894023,0.42771913128886024,0.89908457529989,-0.09749599051060631
-0.7041605955001022,-0.6223828786265627,-0.6133332853298397,-0.23659122674702782,-0.4067583563119141,-0.7041605955001023
-0.8554244492640615,-0.41092983360325086,-1.0291281978228466,-0.7020953757036321,-0.14078179798855142,-0.8554244492640616
-0.9658631544110883,-1.2869820932098295,-0.7246622950584274,-2.285979280499516,-1.6258172763720267,-0.9658631544110884
