PC1,PC2,country,area_category,pop_category
0.8898508744482811,0.9812483077003716,Vietnam,Medium,Large
0.9666880105418304,-0.42376521362390934,Thailand,Large,Large
-2.5544620171819994,2.1976433074876516,Singapore,Small,Medium
-0.2583442805057111,-0.6850713881232707,Malaysia,Medium,Medium
0.9758449314561726,1.5414337163174512,Philippines,Medium,Large
4.488064998741572,0.033316775781207654,Indonesia,Large,Large
1.096312271425135,-1.0936733388943414,Myanmar,Large,Large
-1.1747426707468067,-0.6141443182199229,Cambodia,Medium,Medium
-1.2811928796344885,-1.2323379736783802,Laos,Medium,Medium
-3.148019238543987,-0.7046498747468569,Brunei,Small,Small
